iter	Passed	Remaining
0	108	21659
1	115	11428
2	122	8044
3	129	6369
4	137	5350
5	143	4650
6	151	4167
7	158	3792
8	165	3504
9	172	3269
10	190	3275
11	197	3101
12	203	2934
13	210	2796
14	217	2681
15	226	2605
16	232	2504
17	239	2420
18	246	2346
19	252	2274
20	259	2211
21	266	2160
22	273	2106
23	280	2056
24	287	2010
25	294	1971
26	301	1933
27	308	1896
28	316	1866
29	323	1835
30	331	1807
31	340	1786
32	348	1762
33	355	1738
34	363	1712
35	371	1691
36	379	1671
37	386	1648
38	393	1626
39	401	1607
40	409	1588
41	417	1569
42	425	1551
43	432	1532
44	440	1516
45	448	1500
46	455	1482
47	462	1464
48	470	1449
49	477	1431
50	484	1415
51	492	1402
52	501	1389
53	508	1375
54	517	1363
55	525	1350
56	532	1336
57	540	1323
58	549	1312
59	556	1298
60	563	1284
61	572	1273
62	580	1262
63	588	1250
64	595	1237
65	603	1225
66	610	1212
67	618	1200
68	626	1189
69	633	1177
70	641	1164
71	648	1153
72	656	1141
73	662	1128
74	670	1116
75	676	1104
76	683	1091
77	689	1078
78	696	1067
79	702	1054
80	709	1041
81	715	1028
82	718	1013
83	724	1000
84	730	988
85	736	976
86	743	966
87	750	955
88	756	943
89	762	932
90	769	921
91	776	911
92	783	900
93	789	890
94	795	879
95	802	869
96	809	859
97	815	849
98	821	838
99	828	828
100	834	818
101	840	807
102	846	797
103	853	787
104	859	778
105	866	768
106	872	758
107	879	749
108	886	740
109	893	730
110	899	721
111	906	712
112	913	703
113	919	693
114	925	684
115	933	676
116	940	667
117	946	657
118	953	649
119	959	639
120	966	631
121	974	623
122	981	614
123	988	606
124	995	597
125	1002	588
126	1008	579
127	1014	570
128	1021	562
129	1027	553
130	1034	544
131	1040	536
132	1047	527
133	1053	519
134	1060	510
135	1067	502
136	1073	493
137	1080	485
138	1086	476
139	1093	468
140	1100	460
141	1107	452
142	1114	444
143	1120	435
144	1127	427
145	1134	419
146	1141	411
147	1147	403
148	1154	395
149	1160	386
150	1166	378
151	1173	370
152	1179	362
153	1186	354
154	1193	346
155	1200	338
156	1208	330
157	1215	323
158	1222	315
159	1229	307
160	1236	299
161	1243	291
162	1249	283
163	1257	275
164	1264	268
165	1270	260
166	1276	252
167	1284	244
168	1290	236
169	1296	228
170	1303	221
171	1310	213
172	1316	205
173	1322	197
174	1329	189
175	1335	182
176	1342	174
177	1348	166
178	1356	159
179	1367	151
180	1374	144
181	1382	136
182	1390	129
183	1398	121
184	1407	114
185	1415	106
186	1424	99
187	1432	91
188	1440	83
189	1448	76
190	1456	68
191	1465	61
192	1474	53
193	1482	45
194	1490	38
195	1498	30
196	1506	22
197	1514	15
198	1522	7
199	1530	0
